iteration,group_A,group_B,n_sig,pct_sig,median_abs_delta_r
35,"HP1529801T2D,HP1606401T2D,HP1711701T2D,Sample108,Sample110","HP1601201T2D,HP1602301T2D,HP1605601T2D,Sample109",7228,3.283723127805339,0.20605709407549452
36,"HP1601201T2D,HP1602301T2D,HP1605601T2D,Sample109,Sample110","HP1529801T2D,HP1606401T2D,HP1711701T2D,Sample108",9753,4.43084555416235,0.21794463840195094
37,"HP1601201T2D,HP1602301T2D,HP1606401T2D,Sample109,Sample110","HP1529801T2D,HP1605601T2D,HP1711701T2D,Sample108",10704,4.862890475930873,0.22021625683645257
38,"HP1601201T2D,HP1602301T2D,HP1711701T2D,Sample109,Sample110","HP1529801T2D,HP1605601T2D,HP1606401T2D,Sample108",7494,3.404568500245325,0.20463805285150474
39,"HP1529801T2D,HP1601201T2D,HP1602301T2D,Sample109,Sample110","HP1605601T2D,HP1606401T2D,HP1711701T2D,Sample108",8159,3.706681931345291,0.2060085644513494
40,"HP1601201T2D,HP1605601T2D,HP1606401T2D,Sample109,Sample110","HP1529801T2D,HP1602301T2D,HP1711701T2D,Sample108",11348,5.155463482890839,0.21729198267548516
41,"HP1601201T2D,HP1605601T2D,HP1711701T2D,Sample109,Sample110","HP1529801T2D,HP1602301T2D,HP1606401T2D,Sample108",7783,3.535862908648167,0.20162255962332992
42,"HP1529801T2D,HP1601201T2D,HP1605601T2D,Sample109,Sample110","HP1602301T2D,HP1606401T2D,HP1711701T2D,Sample108",9042,4.107834051136673,0.207007999873268
43,"HP1601201T2D,HP1606401T2D,HP1711701T2D,Sample109,Sample110","HP1529801T2D,HP1602301T2D,HP1605601T2D,Sample108",7974,3.6226353377310145,0.19843865087260537
44,"HP1529801T2D,HP1601201T2D,HP1606401T2D,Sample109,Sample110","HP1602301T2D,HP1605601T2D,HP1711701T2D,Sample108",9163,4.162805066419525,0.2065043480678568
45,"HP1529801T2D,HP1601201T2D,HP1711701T2D,Sample109,Sample110","HP1602301T2D,HP1605601T2D,HP1606401T2D,Sample108",8783,3.9901688200766867,0.20573778604688242
46,"HP1602301T2D,HP1605601T2D,HP1606401T2D,Sample109,Sample110","HP1529801T2D,HP1601201T2D,HP1711701T2D,Sample108",11280,5.1245706809137,0.2193051966644422
47,"HP1602301T2D,HP1605601T2D,HP1711701T2D,Sample109,Sample110","HP1529801T2D,HP1601201T2D,HP1606401T2D,Sample108",7459,3.388667793345327,0.20430329177720102
48,"HP1529801T2D,HP1602301T2D,HP1605601T2D,Sample109,Sample110","HP1601201T2D,HP1606401T2D,HP1711701T2D,Sample108",8303,3.7721019825909976,0.20511188874056469
49,"HP1602301T2D,HP1606401T2D,HP1711701T2D,Sample109,Sample110","HP1529801T2D,HP1601201T2D,HP1605601T2D,Sample108",9379,4.260935143288084,0.20768943690292987
50,"HP1529801T2D,HP1602301T2D,HP1606401T2D,Sample109,Sample110","HP1601201T2D,HP1605601T2D,HP1711701T2D,Sample108",10117,4.596212905922332,0.21211751808505513
51,"HP1529801T2D,HP1602301T2D,HP1711701T2D,Sample109,Sample110","HP1601201T2D,HP1605601T2D,HP1606401T2D,Sample108",9312,4.230496647222374,0.20950264197243829
52,"HP1605601T2D,HP1606401T2D,HP1711701T2D,Sample109,Sample110","HP1529801T2D,HP1601201T2D,HP1602301T2D,Sample108",7082,3.2173944647367754,0.20074140585338898
53,"HP1529801T2D,HP1605601T2D,HP1606401T2D,Sample109,Sample110","HP1601201T2D,HP1602301T2D,HP1711701T2D,Sample108",8082,3.671700376165295,0.2021703310667653
54,"HP1529801T2D,HP1605601T2D,HP1711701T2D,Sample109,Sample110","HP1601201T2D,HP1602301T2D,HP1606401T2D,Sample108",7478,3.397299605662469,0.20590225665790984
55,"HP1529801T2D,HP1606401T2D,HP1711701T2D,Sample109,Sample110","HP1601201T2D,HP1602301T2D,HP1605601T2D,Sample108",7979,3.624906867288157,0.20402562791737588
56,"HP1601201T2D,HP1602301T2D,HP1605601T2D,HP1606401T2D,Sample110","HP1529801T2D,HP1711701T2D,Sample108,Sample109",8310,3.7752821239709973,0.19228137250248722
57,"HP1601201T2D,HP1602301T2D,HP1605601T2D,HP1711701T2D,Sample110","HP1529801T2D,HP1606401T2D,Sample108,Sample109",6949,3.156971778516782,0.1917208555936313
58,"HP1529801T2D,HP1601201T2D,HP1602301T2D,HP1605601T2D,Sample110","HP1606401T2D,HP1711701T2D,Sample108,Sample109",7995,3.6321757618710135,0.18934846222966148
59,"HP1601201T2D,HP1602301T2D,HP1606401T2D,HP1711701T2D,Sample110","HP1529801T2D,HP1605601T2D,Sample108,Sample109",7690,3.493612458885315,0.19456300882783656
60,"HP1529801T2D,HP1601201T2D,HP1602301T2D,HP1606401T2D,Sample110","HP1605601T2D,HP1711701T2D,Sample108,Sample109",8571,3.893855966853841,0.18998104474485206
61,"HP1529801T2D,HP1601201T2D,HP1602301T2D,HP1711701T2D,Sample110","HP1605601T2D,HP1606401T2D,Sample108,Sample109",9146,4.155081865925239,0.20340659873654104
62,"HP1601201T2D,HP1605601T2D,HP1606401T2D,HP1711701T2D,Sample110","HP1529801T2D,HP1602301T2D,Sample108,Sample109",7185,3.2641879736139128,0.18877121154024945
63,"HP1529801T2D,HP1601201T2D,HP1605601T2D,HP1606401T2D,Sample110","HP1602301T2D,HP1711701T2D,Sample108,Sample109",8025,3.645804939213869,0.1893937411184807
64,"HP1529801T2D,HP1601201T2D,HP1605601T2D,HP1711701T2D,Sample110","HP1602301T2D,HP1606401T2D,Sample108,Sample109",8528,3.8743208126624142,0.2007198174032949
65,"HP1529801T2D,HP1601201T2D,HP1606401T2D,HP1711701T2D,Sample110","HP1602301T2D,HP1605601T2D,Sample108,Sample109",7617,3.4604481273510332,0.19794029804544686
66,"HP1602301T2D,HP1605601T2D,HP1606401T2D,HP1711701T2D,Sample110","HP1529801T2D,HP1601201T2D,Sample108,Sample109",6989,3.175144014973923,0.19294529272889271
67,"HP1529801T2D,HP1602301T2D,HP1605601T2D,HP1606401T2D,Sample110","HP1601201T2D,HP1711701T2D,Sample108,Sample109",7680,3.48906939977103,0.19052557037525836
68,"HP1529801T2D,HP1602301T2D,HP1605601T2D,HP1711701T2D,Sample110","HP1601201T2D,HP1606401T2D,Sample108,Sample109",8340,3.7889113013138527,0.20049347774229473
69,"HP1529801T2D,HP1602301T2D,HP1606401T2D,HP1711701T2D,Sample110","HP1601201T2D,HP1605601T2D,Sample108,Sample109",9048,4.110559886605245,0.20433531941058108
70,"HP1529801T2D,HP1605601T2D,HP1606401T2D,HP1711701T2D,Sample110","HP1601201T2D,HP1602301T2D,Sample108,Sample109",8317,3.778462265350997,0.19563407168323427
